"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jun 13 00:42:54 GET 2023","Tue Jun 13 00:42:54 GET 2023","3","Default Suite","Project 2","SwoopTest","SwoopTest","Test1","Test1",""
"broken","Tue Jun 13 00:42:54 GET 2023","Tue Jun 13 00:42:54 GET 2023","3","Default Suite","Project 2","SwoopTest","SwoopTest","setup","setup",""
